day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d
106 16   882.4 0.000E+00  96 0.148E-01 0.157E-01 -.126E-03 0.363E+03   0.096 0.329E+02 0.101E-02

106 16  1059.0 0.000E+00  98 0.953E-02 0.939E-02 -.973E-04 0.206E+03   0.196 0.117E+03 0.101E-02

106 16  1059.0 0.000E+00  97 0.105E-01 0.104E-01 -.130E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16  1059.0 0.000E+00  96 0.157E-01 0.166E-01 -.151E-03 0.363E+03   0.097 0.330E+02 0.101E-02

106 16  1323.9 0.000E+00  98 0.939E-02 0.924E-02 -.927E-04 0.206E+03   0.195 0.117E+03 0.101E-02

106 16  1323.9 0.000E+00  97 0.104E-01 0.103E-01 -.125E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16  1323.9 0.000E+00  96 0.166E-01 0.172E-01 -.168E-03 0.363E+03   0.099 0.332E+02 0.101E-02

106 16  1588.7 0.000E+00  98 0.924E-02 0.911E-02 -.888E-04 0.206E+03   0.194 0.117E+03 0.101E-02

106 16  1588.7 0.000E+00  97 0.103E-01 0.102E-01 -.121E-03 0.209E+03   0.195 0.115E+03 0.101E-02

106 16  1588.7 0.000E+00  96 0.172E-01 0.174E-01 -.177E-03 0.363E+03   0.100 0.334E+02 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 16     0.0 0.000E+00  98 0.911E-02 0.891E-02 -.830E-04 0.206E+03   0.194 0.117E+03 0.101E-02

106 16     0.0 0.000E+00  97 0.102E-01 0.100E-01 -.116E-03 0.209E+03   0.195 0.115E+03 0.101E-02

106 16     0.0 0.000E+00  96 0.174E-01 0.176E-01 -.181E-03 0.363E+03   0.101 0.335E+02 0.101E-02

106 16   211.3 0.000E+00  98 0.891E-02 0.860E-02 -.745E-04 0.206E+03   0.193 0.117E+03 0.101E-02

106 16   211.3 0.000E+00  97 0.100E-01 0.983E-02 -.110E-03 0.209E+03   0.194 0.115E+03 0.101E-02

106 16   211.3 0.000E+00  96 0.176E-01 0.176E-01 -.183E-03 0.362E+03   0.101 0.337E+02 0.101E-02

106 16   422.5 0.000E+00  98 0.860E-02 0.806E-02 -.612E-04 0.206E+03   0.192 0.117E+03 0.101E-02

106 16   422.5 0.000E+00  97 0.983E-02 0.944E-02 -.970E-04 0.208E+03   0.194 0.115E+03 0.101E-02

106 16   422.5 0.000E+00  96 0.176E-01 0.174E-01 -.178E-03 0.362E+03   0.101 0.338E+02 0.101E-02

106 16   739.4 0.000E+00  98 0.805E-02 0.743E-02 -.477E-04 0.206E+03   0.189 0.116E+03 0.101E-02

106 16   739.4 0.000E+00  97 0.943E-02 0.898E-02 -.834E-04 0.208E+03   0.193 0.115E+03 0.101E-02

106 16   739.4 0.000E+00  96 0.174E-01 0.171E-01 -.171E-03 0.361E+03   0.102 0.340E+02 0.101E-02

106 16  1056.3 0.000E+00  98 0.742E-02 0.631E-02 -.291E-04 0.206E+03   0.187 0.116E+03 0.101E-02

106 16  1056.3 0.000E+00  97 0.896E-02 0.825E-02 -.646E-04 0.208E+03   0.191 0.115E+03 0.101E-02

106 16  1056.3 0.000E+00  96 0.171E-01 0.165E-01 -.153E-03 0.360E+03   0.101 0.342E+02 0.101E-02

106 16  1531.6 0.000E+00  98 0.629E-02 0.546E-02 -.186E-04 0.207E+03   0.182 0.114E+03 0.101E-02

106 16  1531.6 0.000E+00  97 0.818E-02 0.773E-02 -.531E-04 0.207E+03   0.189 0.115E+03 0.101E-02

106 16  1531.6 0.000E+00  96 0.166E-01 0.162E-01 -.146E-03 0.359E+03   0.101 0.345E+02 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 17     0.0 0.000E+00  98 0.545E-02 0.452E-02 -.105E-04 0.207E+03   0.178 0.114E+03 0.101E-02

106 17     0.0 0.000E+00  97 0.771E-02 0.726E-02 -.441E-04 0.207E+03   0.187 0.115E+03 0.101E-02

106 17     0.0 0.000E+00  96 0.162E-01 0.157E-01 -.135E-03 0.358E+03   0.101 0.347E+02 0.101E-02

106 17   268.4 0.000E+00  98 0.452E-02 0.363E-02 -.544E-05 0.207E+03   0.175 0.113E+03 0.101E-02

106 17   268.4 0.000E+00  97 0.725E-02 0.685E-02 -.370E-04 0.207E+03   0.186 0.115E+03 0.101E-02

106 17   268.4 0.000E+00  96 0.157E-01 0.153E-01 -.126E-03 0.357E+03   0.100 0.349E+02 0.101E-02

106 17   536.9 0.000E+00  98 0.363E-02 0.225E-02 -.128E-05 0.206E+03   0.172 0.113E+03 0.101E-02

106 17   536.9 0.000E+00  97 0.684E-02 0.637E-02 -.298E-04 0.206E+03   0.184 0.115E+03 0.101E-02

106 17   536.9 0.000E+00  96 0.153E-01 0.148E-01 -.113E-03 0.356E+03   0.100 0.350E+02 0.101E-02

106 17   939.5 0.000E+00  98 0.225E-02 0.479E-03 -.123E-07 0.206E+03   0.167 0.112E+03 0.101E-02

106 17   939.5 0.000E+00  97 0.635E-02 0.605E-02 -.255E-04 0.206E+03   0.183 0.115E+03 0.101E-02

106 17   939.5 0.000E+00  96 0.148E-01 0.144E-01 -.105E-03 0.355E+03   0.099 0.353E+02 0.101E-02

106 17  1342.1 0.000E+00  98 0.480E-03 -.221E-02 0.000E+00 0.206E+03   0.160 0.111E+03 0.101E-02

106 17  1342.1 0.000E+00  97 0.604E-02 0.582E-02 -.228E-04 0.206E+03   0.182 0.115E+03 0.101E-02

106 17  1342.1 0.000E+00  96 0.144E-01 0.140E-01 -.968E-04 0.354E+03   0.099 0.355E+02 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 17     0.0 0.000E+00  97 0.586E-02 0.577E-02 -.221E-04 0.206E+03   0.181 0.115E+03 0.101E-02

106 17     0.0 0.000E+00  96 0.140E-01 0.137E-01 -.916E-04 0.353E+03   0.099 0.358E+02 0.101E-02

106 17   457.9 0.000E+00  97 0.577E-02 0.569E-02 -.212E-04 0.206E+03   0.181 0.115E+03 0.101E-02

